Marca_Celular,Venta_Unidades
Samsung,9041
Motorola,6768
Xiaomi,5088
Lg,3805
Huawei,1607
Blu,1241
Celular Generico-Repuestos,656
Nokia,625
Iphone,541
Kodak,371
Quantum,341
Alcatel,298
Caterpillar,294
Enova,284
Tcl,279
Kanji,272
Hyundai,269
Sony,191
Noblex,167
Sky,142
Panacom,108
Bgh,106
Maxwest,86
Philco,72
Zte,42
Blackberry,41
Philips,41
Ipro,35
Diva,27
Sansei,17
Spanky,13
Daewoo,12
Genious Touch,12
Neso,12
Blackview,10
Akua,7
Dtc,7
Figo,7
Ulefone,7
Nextel,5
Pcd,5
Ruggear,5
Audinac,4
Admiral,3
Archos,3
Datsun,3
Doogee,3
Asus,2
Htc,2
Ken Brown,2
Pcbox,2
Top House,2
Woo,2
Zylan,2
Cx,1
Geniphone,1
Leeco,1
Lenovo,1
Lumee,1
One Plus,1
Oppo,1
Overtech,1
Razer,1
